"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK__61_Arduino_31_COMPLETE_work.nlogo"
"experiment_centroid_links_mutated"
"07/04/2022 22:22:54:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","mean [ state ] of turtles with [ breed = clients ]","mean [ state ] of turtles with [ breed = service-providers ]","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y","count links"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","8","2.388888888888889","2.625","0.2020833333333333","false","0.4776369360773384","0.6375","0.05385142748440739","0.5963156297022838","47"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","8","3.0416666666666665","2.875","0.058333333333333334","false","0.3087015415140416","0.4125","1.3813083519654827","-0.12389264226959056","27"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","8","3.088235294117647","2.3333333333333335","0.19624999999999998","false","0.44357787433155077","1.425","-0.6969478349590871","-0.5839444271754736","47"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","8","2.513157894736842","4","0.12708333333333333","false","0.4523859126984126","0.2375","-1.0349030770629457","-0.7480475963261256","34"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","8","1.8888888888888888","1.375","0.0375","false","0.43704365079365076","0.45","0.13097029967361412","0.2738506286481499","32"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","8","3.25","3.25","0.10416666666666666","false","0.39252210882325966","0.6375","0.06422311643342696","-0.06950621219709859","30"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","8","3.2941176470588234","3.25","0.05625","false","0.4124454365079366","0.375","-0.10975612646548231","-0.2713465274575874","30"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","8","3.1944444444444446","2.875","0.09583333333333334","false","0.4263480392156862","0.6875","0.7841023300361604","-0.27028413380493743","33"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","8","2.9473684210526314","3.25","0.085","false","0.42809133523513243","2.825","-0.8294441642469679","-0.4360998419315635","47"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","8","2.014705882352941","2.0833333333333335","0.075","false","0.4958174117549118","0.6","1.3285049914309683","-0.6072888707055714","34"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","8","2.1578947368421053","2","0.12708333333333333","false","0.4676938705512561","1.25","-0.17398533866682642","-1.815221886992115","43"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","9","2.1029411764705883","3.5","0.05125","false","0.41015147273177455","1.0375","-0.004101608270122137","-0.4155970663174454","33"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","9","2.0694444444444446","2.25","0.24125000000000002","false","0.48910155488160606","0.7","-0.03364857251559252","0.6463156297022842","51"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","9","3.088235294117647","2.5","0.19416666666666665","false","0.418898714031067","2.1","-0.6594478349590872","-0.5089444271754736","48"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","9","2.0694444444444446","2.25","0.0375","false","0.39281903202161816","1.825","0.18097029967361444","0.21135062864815005","37"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","9","3.361111111111111","3.125","0.05833333333333333","false","0.31495154151404153","0.4625","1.3438083519654829","-0.13639264226959075","29"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","9","3.2941176470588234","3.3333333333333335","0.08541666666666667","false","0.3984176587301588","0.45","-0.09725612646548223","-0.27134652745758725","32"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","9","3.1944444444444446","3.125","0.09166666666666667","false","0.42890756302521005","0.725","0.8091023300361604","-0.2702841338049372","34"
