BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,
CA_5-STATES_NETWORK_CLEAN_54_PERFEITO_SAVE_Block_Arduino_24_PERFECT_DOC_BREED_aligned_BEHAVIOR_work.nlogo,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,
06/29/2022 20:38:59:599 -0300,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,
[run number],radius-of-interaction,movement-steps,load-graphml,N-turtles,percentage-unhappy,clear-before-generating,arduino-on,mutated,links-to-use,frac-providers,step,mood_clients,mood_providers,cluster_coef,paths,closeness,betweenness
9,1.5,1,false,80,30,true,false,0,undirected,0.15,11,1.9264705882352942,4,0.15208333333333332,false,0.4559469696969698,0.2375
8,1.5,1,false,80,30,true,false,0,undirected,0.05,11,1.75,7,0.029166666666666664,false,0.3154166666666667,175
4,1.5,1,false,80,20,true,false,0,undirected,0.05,11,1.8026315789473684,2,0.11750000000000002,false,0.47712587788295097,1.3875
3,1.5,1,false,80,10,true,false,0,undirected,0.15,11,2.2794117647058822,2.9166666666666665,0.13738095238095238,false,0.44139041514041527,375
6,1.5,1,false,80,20,true,false,0,undirected,0.15,11,2.2794117647058822,3.8333333333333335,75,false,0.4479166666666667,0.1
1,1.5,1,false,80,10,true,false,0,undirected,0.05,12,2.6447368421052633,3,0.20250000000000004,false,0.48182365778649794,1.9
5,1.5,1,false,80,20,true,false,0,undirected,0.05,12,2.473684210526316,2.25,0.2709722222222223,false,0.43786308600104906,5.824999999999999
12,1.5,1,false,80,40,true,false,0,undirected,0.15,11,1.4558823529411764,4.166666666666667,0.13583333333333333,false,0.4180882554945054,1.6875
2,1.5,1,false,80,10,true,false,0,undirected,0.05,12,2.8157894736842106,1.25,0.09,false,0.490358669108669,575
11,1.5,1,false,80,40,true,false,0,undirected,0.05,12,2.0526315789473686,4.25,0.16458333333333333,false,0.46964285714285703,0.36249999999999993
7,1.5,1,false,80,30,true,false,0,undirected,0.05,12,2.0921052631578947,2.25,0.17541666666666667,false,0.3441298733748146,3125
9,1.5,1,false,80,30,true,false,0,undirected,0.15,12,2.25,2.3333333333333335,0.14958333333333335,false,0.4268438852813853,575
10,1.5,1,false,80,40,true,false,0,undirected,0.05,12,1.8026315789473684,2.75,0.14583333333333331,false,0.46639339826839815,0.7125
8,1.5,1,false,80,30,true,false,0,undirected,0.05,12,1.868421052631579,5,0.029166666666666664,false,0.3154166666666667,175
3,1.5,1,false,80,10,true,false,0,undirected,0.15,12,2.764705882352941,2.5,0.13404761904761903,false,0.4433782302256567,525
4,1.5,1,false,80,20,true,false,0,undirected,0.05,12,2.1315789473684212,2.5,0.11750000000000001,false,0.5021258778829512,1.3875
1,1.5,1,false,80,10,true,false,0,undirected,0.05,13,2.1052631578947367,1.5,0.19761904761904764,false,0.4265720096952452,7675
6,1.5,1,false,80,20,true,false,0,undirected,0.15,12,2.676470588235294,3.5833333333333335,75,false,0.4479166666666668,0.1
5,1.5,1,false,80,20,true,false,0,undirected,0.05,13,1.9736842105263157,2.25,0.28381944444444446,false,0.43814748112779184,5.8
12,1.5,1,false,80,40,true,false,0,undirected,0.15,12,1.75,3.25,0.13583333333333333,false,0.41808825549450557,1.6875
2,1.5,1,false,80,10,true,false,0,undirected,0.05,13,2.276315789473684,1.5,0.09,false,0.46881105006105006,0.6875
11,1.5,1,false,80,40,true,false,0,undirected,0.05,13,1.7105263157894737,7.25,0.16458333333333333,false,0.4946428571428571,0.36249999999999993
7,1.5,1,false,80,30,true,false,0,undirected,0.05,13,1.763157894736842,3.75,0.15666666666666668,false,0.3198428201354865,3.8625
9,1.5,1,false,80,30,true,false,0,undirected,0.15,13,1.9705882352941178,3.0833333333333335,0.14958333333333332,false,0.431010551948052,0.5875
10,1.5,1,false,80,40,true,false,0,undirected,0.05,13,1.6710526315789473,6.25,0.14250000000000002,false,0.4751564937255727,0.9
8,1.5,1,false,80,30,true,false,0,undirected,0.05,13,1.8157894736842106,5.75,0.029166666666666664,false,0.29386904761904764,0.2875
3,1.5,1,false,80,10,true,false,0,undirected,0.15,13,2.3529411764705883,3,0.14952380952380953,false,0.45525661226028874,0.4625
4,1.5,1,false,80,20,true,false,0,undirected,0.05,13,1.8289473684210527,2,0.09875,false,0.42164027499779777,9.5125
6,1.5,1,false,80,20,true,false,0,undirected,0.15,13,2.235294117647059,3.1666666666666665,75,false,0.4479166666666667,0.1
12,1.5,1,false,80,40,true,false,0,undirected,0.15,13,1.4705882352941178,3.25,0.13583333333333333,false,0.39995291860916865,1.8375
1,1.5,1,false,80,10,true,false,0,undirected,0.05,14,2.4210526315789473,2,0.21178571428571433,false,0.4399903279989291,6.55
5,1.5,1,false,80,20,true,false,0,undirected,0.05,14,2.3421052631578947,2.25,0.2838194444444445,false,0.43814748112779184,5.8
11,1.5,1,false,80,40,true,false,0,undirected,0.05,14,2,6.75,0.16124999999999998,false,0.501089015151515,0.45
2,1.5,1,false,80,10,true,false,0,undirected,0.05,14,2.6710526315789473,1.25,0.09,false,0.4788110500610501,725
9,1.5,1,false,80,30,true,false,0,undirected,0.15,14,2.1323529411764706,3.75,0.14333333333333334,false,0.4339830953646744,0.7625
7,1.5,1,false,80,30,true,false,0,undirected,0.05,14,2,3.75,0.1658333333333333,false,0.3199960689350062,3.85
8,1.5,1,false,80,30,true,false,0,undirected,0.05,14,1.8421052631578947,6.25,0.027083333333333338,false,0.26901677598939266,825
10,1.5,1,false,80,40,true,false,0,undirected,0.05,14,1.855263157894737,6.5,0.13833333333333334,false,0.4258468385092142,3.0125
4,1.5,1,false,80,20,true,false,0,undirected,0.05,14,2.013157894736842,2.5,0.12363095238095237,false,0.37760442690730345,12.3625
3,1.5,1,false,80,10,true,false,0,undirected,0.15,14,2.6029411764705883,2.75,0.14833333333333337,false,0.46094681078519767,0.65
5,1.5,1,false,80,20,true,false,0,undirected,0.05,15,2.4078947368421053,2.25,0.2754861111111111,false,0.38641169800019487,13.35
1,1.5,1,false,80,10,true,false,0,undirected,0.05,15,2.4210526315789473,3,0.21133928571428573,false,0.44397371037272587,6125
6,1.5,1,false,80,20,true,false,0,undirected,0.15,14,2.588235294117647,4.083333333333333,75,false,0.4479166666666667,0.1
12,1.5,1,false,80,40,true,false,0,undirected,0.15,14,1.6764705882352942,3.1666666666666665,0.13583333333333333,false,0.3999529186091686,1.8375
2,1.5,1,false,80,10,true,false,0,undirected,0.05,15,2.460526315789474,1.5,0.09,false,0.4788110500610501,725
11,1.5,1,false,80,40,true,false,0,undirected,0.05,15,1.7894736842105263,9.75,0.17375,false,0.47363777807160157,1.0999999999999999
