"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK_CLEAN_55_PERFEITO_SAVE_Block_Arduino_25_PERFECT_DOC_BREED_aligned_BEHAVIOR_work2_SIMILARITY_SEGREGATION_CENTROIDE_work.nlogo"
"experiment_centroid"
"06/30/2022 20:22:16:617 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","( sum [ state ] of turtles with [ breed = clients ] ) /  (( 1 - frac-providers) * N-turtles)","( sum [ state ] of turtles with [ breed = service-providers ] ) /  ( frac-providers * N-turtles )","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","5","1.868421052631579","4.75","0.20833333333333334","false","0.41297619047619055","0.2875","-0.8634048332870204","0.6333788549224723"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","5","2.3026315789473686","1.25","0.0375","false","0.41936466311466314","0.2875","-0.2783331249180082","-1.0158750141097874"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","5","2.3289473684210527","2","0.10833333333333332","false","0.39295583805235385","0.95","1.9419252275548924","-2.291068603481307"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","5","2.25","2.4166666666666665","0.05333333333333333","false","0.36792703823953826","0.375","1.8581082624497252","0.16456105785731318"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","5","1.7794117647058822","3","0.11666666666666665","false","0.370130831339713","0.5","0.5293156663993517","-1.4703892608819777"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","5","1.5588235294117647","4.75","0.16958333333333334","false","0.30985119047619053","0.125","-0.9067770061373863","2.205351686956128"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","5","1.631578947368421","5.75","0.075","false","0.3243917112299466","0.425","-2.1396369434942057","-0.20028396163359244"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","5","1.894736842105263","4","0.12291666666666665","false","0.30190972222222223","0.2625","-0.48260109927761763","0.5004767199389921"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","5","1.6710526315789473","8.5","0.11916666666666668","false","0.39361111111111113","0.1625","-0.5317922450009556","0.8399996971540318"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","6","2.3421052631578947","3","0.15416666666666665","false","0.47130952380952384","0.25","1.1406702462452751","-0.05182271259135427"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","6","2.323529411764706","3.0833333333333335","0.15624999999999997","false","0.46959935897435895","0.325","0.7464584437509412","-0.5863029610249766"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","6","2.460526315789474","2.25","0.1583333333333333","false","0.5367261904761905","0.125","0.5044983153736631","1.065931420398551"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","6","2.789473684210526","1","0.06458333333333333","false","0.4248263888888889","0.2375","-0.29083312491800817","-0.9908750141097871"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","6","2.25","4.5","0.21041666666666664","false","0.38353081048853116","0.6875","-0.9134048332870204","0.6083788549224721"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","6","2.460526315789474","1.25","0.12375","false","0.37225344339568484","1.525","1.9669252275548927","-2.303568603481306"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","6","2.8088235294117645","3","0.05333333333333333","false","0.3679270382395382","0.375","1.908108262449725","0.16456105785731273"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","6","2.176470588235294","3.3333333333333335","0.15","false","0.39388083133971297","0.475","0.5293156663993519","-1.4703892608819777"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","6","1.838235294117647","4.583333333333333","0.16958333333333334","false","0.3348511904761905","0.125","-0.8317770061373855","2.1053516869561273"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","6","1.9210526315789473","5.5","0.075","false","0.3493917112299466","0.425","-2.0521369434942054","-0.17528396163359253"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","6","1.9210526315789473","4.75","0.11916666666666667","false","0.396170634920635","0.2125","-0.5317922450009558","0.8024996971540318"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","6","2.3684210526315788","3.25","0.13125000000000003","false","0.35946924603174607","0.2875","-0.4451010992776177","0.4504767199389924"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","7","1.7894736842105263","1.5","0.16916666666666663","false","0.4608265692640693","0.5875","1.1531702462452753","-0.051822712591354334"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","7","1.9705882352941178","3.3333333333333335","0.15625","false","0.4695993589743589","0.325","0.658958443750941","-0.5863029610249765"
